CustomerID,Segment,Region
400081.0,False,MAHARASHTRA
560085.0,False,KARNATAKA
410210.0,True,MAHARASHTRA
605008.0,False,PUDUCHERRY
600073.0,False,TAMIL NADU
201102.0,False,UTTAR PRADESH
160036.0,False,CHANDIGARH
500032.0,False,TELANGANA
500008.0,False,TELANGANA
600041.0,False,TAMIL NADU
201303.0,False,UTTAR PRADESH
444606.0,False,MAHARASHTRA
400053.0,False,MAHARASHTRA
515801.0,False,ANDHRA PRADESH
302020.0,False,RAJASTHAN
110074.0,False,DELHI
122004.0,False,HARYANA
560017.0,False,KARNATAKA
620018.0,False,TAMIL NADU
560040.0,False,KARNATAKA
500072.0,False,TELANGANA
411044.0,False,MAHARASHTRA
784001.0,False,ASSAM
834002.0,False,JHARKHAND
495001.0,False,CHHATTISGARH
411052.0,False,MAHARASHTRA
560037.0,False,KARNATAKA
781003.0,False,ASSAM
613704.0,False,TAMIL NADU
226010.0,False,UTTAR PRADESH
530016.0,False,ANDHRA PRADESH
764001.0,False,ODISHA
500028.0,False,TELANGANA
226016.0,False,UTTAR PRADESH
600033.0,False,TAMIL NADU
110092.0,False,DELHI
695011.0,False,KERALA
201306.0,False,UTTAR PRADESH
482002.0,False,MADHYA PRADESH
400092.0,False,MAHARASHTRA
226017.0,False,UTTAR PRADESH
400076.0,False,MAHARASHTRA
700014.0,False,WEST BENGAL
523001.0,False,ANDHRA PRADESH
500017.0,False,TELANGANA
500062.0,False,TELANGANA
271881.0,False,UTTAR PRADESH
753012.0,False,ODISHA
421503.0,False,MAHARASHTRA
797112.0,False,NAGALAND
560047.0,False,KARNATAKA
560076.0,False,KARNATAKA
506001.0,False,TELANGANA
328024.0,False,RAJASTHAN
781029.0,False,ASSAM
560103.0,False,KARNATAKA
560023.0,False,KARNATAKA
440022.0,False,MAHARASHTRA
400607.0,False,MAHARASHTRA
389151.0,False,Gujarat
834004.0,False,JHARKHAND
411014.0,False,MAHARASHTRA
586201.0,False,KARNATAKA
400080.0,False,MAHARASHTRA
560001.0,False,KARNATAKA
560098.0,False,KARNATAKA
760002.0,False,ODISHA
500085.0,False,TELANGANA
411045.0,False,MAHARASHTRA
383001.0,False,Gujarat
700048.0,False,WEST BENGAL
502032.0,False,TELANGANA
248001.0,False,UTTARAKHAND
700078.0,False,WEST BENGAL
636705.0,False,TAMIL NADU
248005.0,False,UTTARAKHAND
